date,2330,2412,1216,2881,2884,SPY,TLT,GLD
2019-10-18,293.0000,112.5000,73.0000,45.2500,26.4000,8251.8651,3474.7163,4299.0595
2019-10-21,290.0000,112.5000,73.6000,45.4000,26.3000,8288.8070,3440.6902,4268.7671
2019-10-22,294.0000,113.0000,74.2000,45.5000,26.5500,8256.8590,3458.7699,4278.7636
2019-10-23,293.0000,112.5000,72.8000,45.2000,26.3500,8264.8720,3455.5502,4280.5436
2019-10-24,293.0000,113.0000,74.2000,45.5500,26.7000,8309.3595,3461.5199,4327.1381
2019-10-25,293.5000,112.5000,74.1000,45.5000,26.7000,8321.2845,3435.4839,4325.7370
2019-10-28,294.5000,113.0000,75.2000,45.3000,26.8000,8387.1221,3411.9394,4298.2397
2019-10-29,298.5000,112.5000,75.8000,45.4500,26.9000,8375.0334,3410.2674,4281.4118
2019-10-30,299.5000,113.0000,75.7000,45.4500,27.4000,8365.4954,3445.6640,4286.8671
2019-10-31,298.5000,112.0000,75.2000,44.5500,27.5500,8292.7156,3471.0102,4303.5223
2019-11-01,299.0000,113.0000,74.2000,44.5500,27.5000,8444.0510,3491.1328,4345.7989
2019-11-04,307.0000,113.0000,76.4000,44.9500,27.7500,8464.3497,3439.6465,4326.3350
2019-11-05,310.5000,113.0000,76.0000,44.9500,27.9000,8424.9827,3388.8927,4241.2311
2019-11-06,311.0000,113.5000,74.7000,45.8500,27.9500,8422.1811,3407.4917,4257.0393
2019-11-07,309.0000,113.0000,74.4000,45.5000,27.6000,8468.8081,3352.4865,4199.3983
2019-11-08,305.5000,113.5000,73.0000,45.6000,27.6000,8455.0333,3324.7511,4155.6353
2019-11-11,301.0000,114.0000,73.2000,45.2000,27.3000,8476.2713,3341.7079,4164.0199
2019-11-12,305.0000,113.5000,73.4000,45.5500,27.2500,8502.8048,3360.4792,4179.5210
2019-11-13,304.0000,112.5000,73.0000,45.3000,27.1500,8496.6093,3378.7252,4191.8322
2019-11-14,303.5000,113.0000,72.6000,45.1000,27.0500,8531.1049,3422.5034,4220.3989
2019-11-15,307.0000,113.5000,73.0000,45.3000,27.2500,8584.9381,3415.6399,4205.8687
2019-11-18,311.0000,113.5000,73.9000,45.6000,27.5000,8607.9286,3428.4703,4226.5236
2019-11-19,315.0000,113.0000,74.0000,45.5500,27.6500,8591.0499,3451.2591,4221.5849
2019-11-20,313.5000,114.0000,74.3000,45.4500,27.5500,8557.9758,3486.5132,4223.1604
2019-11-21,311.0000,113.0000,73.0000,45.0500,27.3500,8547.8560,3466.1702,4201.8240
2019-11-22,309.0000,114.0000,73.4000,45.3000,27.3000,8566.5862,3470.5200,4193.7700
2019-11-25,307.0000,113.5000,74.0000,46.1000,27.1500,8664.7364,3493.4965,4189.0278
2019-11-26,307.0000,112.5000,72.4000,46.0000,27.2000,8653.6765,3501.4942,4194.3209
2019-11-27,311.0000,113.0000,72.8000,45.8500,27.3000,8689.1115,3490.0606,4170.5843
2019-11-29,305.0000,113.0000,72.5000,44.8000,27.0500,8652.3328,3480.7904,4194.2526
2019-12-02,307.5000,113.0000,72.6000,44.8000,27.2500,8608.4418,3446.2342,4206.5906
2019-12-03,307.0000,113.0000,72.5000,44.9000,27.3500,8524.1029,3507.5440,4233.6738
2019-12-04,306.0000,113.0000,72.2000,44.8000,27.2500,8579.7973,3473.7749,4229.4193
2019-12-05,312.0000,113.0000,71.8000,45.5000,27.1500,8601.7177,3459.4897,4235.0521
2019-12-06,313.0000,112.5000,72.7000,45.4500,27.1500,8664.9019,3434.2444,4185.5745
2019-12-09,316.0000,112.0000,72.4000,45.4500,27.2500,8639.9300,3442.5974,4185.4589
2019-12-10,313.5000,111.5000,71.8000,45.5500,27.3000,8623.2024,3440.0161,4193.8740
2019-12-11,319.0000,111.0000,72.8000,45.9500,27.3000,8663.3281,3473.3320,4230.3917
2019-12-12,331.5000,111.5000,72.5000,46.0500,27.4000,8707.2970,3404.1638,4200.6580
2019-12-13,339.0000,112.0000,72.5000,47.1500,27.5500,8667.1486,3425.6126,4197.5025
